Comment,Annotation,Label
#charge for paper bags 😡,Neutral,2
What are the behaviors of all such brands like Sapphire  Khaadi Crossstitch.pk Limelight  and other brands. we pay high amount of bill they infact charged us all huge taxes but no such paper bag provide to us  🛍  Means we go other place to carry all stuff in hand..,Neutral,2
Dear all fellows Kindly take serious action against this 🙄😡 if they are in the line of cost cutting so why we pay for bag? #Boycott,Neutral,2
Hi! Please visit the below link for the price of the article. https://bit.ly/4c5ztus,Neutral,2
Beautiful colours and colours combination,Positive,0
Hey! Thank you for your lovely feedback. Hope to keep delighting you in the future.,Positive,0
"Khadi bags are useful for car trips also, especially with kids. Keep throwing random kid stuff in it used by the kids so you don’t lose that stuff. 😂",Neutral,2
The only drawback is that it doesn’t have a zipper. I’d say charge 50 rs more but add a zipper,Neutral,2
Memon Reema love the zip idea 💡,Positive,0
But they should not write their brand name if we are paying for the bag,Neutral,2
Nadia Shamim well if you are paying 200 or plus then Consider it as a product,Positive,0
i will share my experience. theres a local departmental store here in my area who charge for bags. once i forgot to take my own bags. the bill was paid via card. after charging the amount he asked madam apko bag b chahye tha. i said ji chahye. he said oho me ne bill kar dia hay ap cash day dain 30. i said i dont have any cash with me. guess what. he took out a shiny plastic bag hidden under the billing counter. those free ones we used to get. so i said bhai zara do aur nikal dain alag alag dalain chezain jis tarah alag alag bags k charge kar k ap alag alag pack kartay hain. and he did that without a word.,Neutral,2
Naila Aman are you talking about imtiaz? because they did not even bother to hide the shoppers. rather they were hanging right next to the counter. i too asked the person on duty if we can just keep the stuff in it than purchasing another bag. he refused and spoke gibberish😂 couldn’t understand what he said lol,Neutral,2
Kashaf Amjad not imtiaz. it was Rahim Store,Positive,0
There are some selected clothes that comes with a fabric bag on khaadi. You can check that online too.,Positive,0
"I got my order two days ago from khaadi, it came in plastic bag.",Neutral,2
Ye dresses ka fabric kaise hy I saw it on website they are offering low price are they worth buying?.,Negative,1
Syed Hammad Ali Bukhari plz bataye kapra to Pura hai nah ?,Question,4
"Mariya Akbar naah they have 2 qualities, one in for 200 (pictured one) and other one is somewhere around 600",Positive,0
Sapphire has been giving cloth bags FOC for every order,Neutral,2
Paper bags comes from trees .. for that they have to cut trees. First everyone stopped paper bags because they were not environment friendly. Now again shifting to paper bags because that is environment friendly.. its all a hoax of the capitalist world.. treating us like pawns in their greed for more expenditure. Sab milke hum ko ulo bana rahe hain.,Negative,1
So abroad you pay so that you know that next time you go somewhere you take the same bag.. the entire point of paying for extra shopping bag is to reuse and abuse,Neutral,2
i bought some suits from khaadi few months back. they gave me a paper bag and charged me for that bag but on our way to our car tha bag broke and all the suits were on road. i dont know why are they doing this and how much more money they will earn from this garbage bag.,Neutral,2
You’re right recently I ordered from khaddi and got it delivered with cloth bag instead of plastic bag. And when I ordered from al karam they delivered in plastic bag,Neutral,2
Firstly Limelight interduce these bags,Neutral,2
What are they charging for this carry bag,Neutral,2
Hammad Asghar put this as illustration in my dissertation,Positive,0
Simply .. Khaadi has started doing business using the useless rags 😆,Neutral,2
That’s the trend that should be followed if we really wanna reduce use of plastic.. ub wo khaadi ho ya koi bh brand..,Neutral,2
kababjees also giving cloth bags for cakes,Neutral,2
"Then just take a paper bag of your choice, or an thaila that you fancy.",Neutral,2
"Do them one better. Take Nishat's bag to Khaadi, take Khaadi's bag to Nishat, take J.'s bag to Sapphire and vice versa. Too much fun 🤘",Positive,0
"I see people saying ""If you are paying for a suit at khaadi then why are they branding it?""",Neutral,2
"Wrong! Khadi sells suits, it is not a shopping bags selling store. Customers should have the option of buying the 10 rupees non branded bags imo.",Neutral,2
Take your own bag and dont pay for Khaadi bags. Simple.,Positive,0
Its happening poori dunya mai I guess,Positive,0
This happens everywhere in the world,Positive,0
I have seen worst quality bags than Khaadi being sold by brands and local shops. It is a way to stop wastage and maybe make some extra money on the side!,Positive,0
You can bring or purchase your own white bag and put your purchased items in that... There is nothing wrong in charging for the bags whether they are branded or non branded,Neutral,2
Carrefour also charges for their bags,Neutral,2
"The purpose of charging for the bags is to reduce waste. They’re selling cloth bags for 200 pkr so you can either get those or carry your own cloth bag next time you shop at Khaadi. Same as carrefour and miniso etc. You either buy a reusable cloth bag that’ll last you months or any other cloth, paper or plastic bag from any brand honestly that you can use to save money and the environment!",Positive,0
"You are buying it from their shop, if you don’t want to roam with a logo then bring your own paper bags and get over it as soon as possible",Neutral,2
Daily some one cries on bags as if no other issue is left on planet .,Positive,0
Why its so difficult to bring your own bag when going to khaadi ?,Neutral,2
"I take my bag along .. Khaadi or whatever shop, i NEVER PAY be it 10 or100 for a printed or a plain bag.",Neutral,2
"Don't buy it, apna bag ghr se le k jayen🤷🏻‍♀️",Neutral,2
Like they are not forcing you to buy a bag. The same way they have khaadi written on their suits displayed in their outlets and its your choice buy them or not.,Positive,0
"So the idea is to discourage people from buying bags to reduce paper waste. And considering the current load on our landfills, I don't think there's anything wrong with it.",Neutral,2
"Also, they always ask at the counter if you want the bag to be added to the bill.",Neutral,2
"If anyone doesn't want to pay for the bag with Khaadi""s logo, don't buy it. Take your bag with you. Or if you've shopped from another brand , use their bag instead.",Neutral,2
It’s 50 for paper bag and for printed 150 in Islamabad.,Neutral,2
Pakistani brands jahan se paisey Kama saktey hain kama rae hain .,Negative,1
